Filename                                                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
codecoverage/dist/include/BaseProfiler.h                                       5                 5     0.00%           5                 5     0.00%          11                11     0.00%           0                 0         -
codecoverage/dist/include/double-conversion/double-to-string.h                 7                 7     0.00%           3                 3     0.00%          10                10     0.00%           0                 0         -
codecoverage/dist/include/double-conversion/string-to-double.h                 1                 1     0.00%           1                 1     0.00%           2                 2     0.00%           0                 0         -
codecoverage/dist/include/double-conversion/utils.h                           37                37     0.00%          11                11     0.00%          26                26     0.00%           2                 2     0.00%
codecoverage/dist/include/js/AllocPolicy.h                                    30                10    66.67%          20                 4    80.00%          68                19    72.06%           8                 5    37.50%
codecoverage/dist/include/js/AllocationRecording.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/js/BigInt.h                                          1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/js/CallAndConstruct.h                                7                 7     0.00%           4                 4     0.00%          14                14     0.00%           0                 0         -
codecoverage/dist/include/js/CallArgs.h                                       50                 9    82.00%          33                 8    75.76%          85                11    87.06%          10                 2    80.00%
codecoverage/dist/include/js/CallNonGenericMethod.h                            8                 2    75.00%           2                 0   100.00%          14                 2    85.71%           4                 2    50.00%
codecoverage/dist/include/js/CharacterEncoding.h                              42                27    35.71%          30                21    30.00%          45                32    28.89%           0                 0         -
codecoverage/dist/include/js/Class.h                                         181                41    77.35%          66                17    74.24%         185                53    71.35%          74                21    71.62%
codecoverage/dist/include/js/ComparisonOperators.h                            10                 1    90.00%          10                 1    90.00%          31                 3    90.32%           0                 0         -
codecoverage/dist/include/js/CompileOptions.h                                 65                39    40.00%          41                17    58.54%         156                87    44.23%           4                 2    50.00%
codecoverage/dist/include/js/ContextOptions.h                                 47                20    57.45%          47                20    57.45%         126                57    54.76%           0                 0         -
codecoverage/dist/include/js/Conversions.h                                    88                30    65.91%          24                12    50.00%         168                66    60.71%          46                17    63.04%
codecoverage/dist/include/js/Date.h                                           12                 4    66.67%           7                 3    57.14%          15                 5    66.67%           4                 2    50.00%
codecoverage/dist/include/js/Debug.h                                          10                10     0.00%          10                10     0.00%          15                15     0.00%           0                 0         -
codecoverage/dist/include/js/Equality.h                                        1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/js/ErrorReport.h                                    22                 5    77.27%          19                 5    73.68%          31                 8    74.19%           0                 0         -
codecoverage/dist/include/js/Exception.h                                       6                 1    83.33%           6                 1    83.33%          11                 1    90.91%           0                 0         -
codecoverage/dist/include/js/ForOfIterator.h                                   2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
codecoverage/dist/include/js/GCAPI.h                                           8                 6    25.00%           8                 6    25.00%          11                 9    18.18%           0                 0         -
codecoverage/dist/include/js/GCHashTable.h                                   154                96    37.66%          70                44    37.14%         223               132    40.81%          50                31    38.00%
codecoverage/dist/include/js/GCPolicyAPI.h                                    15                11    26.67%           8                 4    50.00%          23                17    26.09%           6                 6     0.00%
codecoverage/dist/include/js/GCVariant.h                                      17                17     0.00%          11                11     0.00%          44                44     0.00%           4                 4     0.00%
codecoverage/dist/include/js/GCVector.h                                       79                27    65.82%          69                26    62.32%         142                50    64.79%           8                 2    75.00%
codecoverage/dist/include/js/HeapAPI.h                                       246               110    55.28%          55                21    61.82%         321               171    46.73%          48                18    62.50%
codecoverage/dist/include/js/Id.h                                            103                27    73.79%          48                14    70.83%         155                57    63.23%          12                 3    75.00%
codecoverage/dist/include/js/Initialization.h                                  3                 2    33.33%           3                 2    33.33%          14                10    28.57%           0                 0         -
codecoverage/dist/include/js/MemoryMetrics.h                                 761               761     0.00%          60                60     0.00%         261               261     0.00%          52                52     0.00%
codecoverage/dist/include/js/Object.h                                         20                10    50.00%           6                 4    33.33%          28                16    42.86%           4                 1    75.00%
codecoverage/dist/include/js/Principals.h                                     10                 9    10.00%           6                 5    16.67%          20                19     5.00%           4                 4     0.00%
codecoverage/dist/include/js/ProfilingFrameIterator.h                         44                44     0.00%          20                20     0.00%          45                45     0.00%           0                 0         -
codecoverage/dist/include/js/ProfilingStack.h                                 66                65     1.52%          33                32     3.03%         152               151     0.66%          12                12     0.00%
codecoverage/dist/include/js/Promise.h                                         5                 4    20.00%           5                 4    20.00%           5                 4    20.00%           0                 0         -
codecoverage/dist/include/js/PropertyDescriptor.h                            148                30    79.73%          72                12    83.33%         211                51    75.83%          16                 1    93.75%
codecoverage/dist/include/js/PropertySpec.h                                   56                23    58.93%          45                23    48.89%         137                87    36.50%           4                 0   100.00%
codecoverage/dist/include/js/Proxy.h                                          85                28    67.06%          46                14    69.57%         158                68    56.96%          22                15    31.82%
codecoverage/dist/include/js/Realm.h                                           4                 3    25.00%           2                 1    50.00%           8                 5    37.50%           2                 2     0.00%
codecoverage/dist/include/js/RealmOptions.h                                   59                33    44.07%          53                27    49.06%         130                73    43.85%           0                 0         -
codecoverage/dist/include/js/RefCounted.h                                     15                 0   100.00%           4                 0   100.00%          13                 0   100.00%           2                 0   100.00%
codecoverage/dist/include/js/RegExpFlags.h                                    26                 3    88.46%          23                 3    86.96%          53                 9    83.02%           0                 0         -
codecoverage/dist/include/js/Result.h                                          4                 4     0.00%           4                 4     0.00%           6                 6     0.00%           0                 0         -
codecoverage/dist/include/js/RootingAPI.h                                    156                38    75.64%         110                33    70.00%         291                95    67.35%           6                 5    16.67%
codecoverage/dist/include/js/ScalarType.h                                    162               138    14.81%           6                 4    33.33%         149               116    22.15%         180               132    26.67%
codecoverage/dist/include/js/SliceBudget.h                                    20                10    50.00%          15                 9    40.00%          26                17    34.62%           4                 3    25.00%
codecoverage/dist/include/js/SourceText.h                                     27                 4    85.19%          13                 2    84.62%          49                15    69.39%           6                 2    66.67%
codecoverage/dist/include/js/StableStringChars.h                              28                15    46.43%           8                 5    37.50%          28                16    42.86%           4                 2    50.00%
codecoverage/dist/include/js/Stack.h                                          15                11    26.67%           5                 4    20.00%          19                18     5.26%           4                 4     0.00%
codecoverage/dist/include/js/StreamConsumer.h                                  3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
codecoverage/dist/include/js/String.h                                         27                26     3.70%          18                17     5.56%         118               115     2.54%           2                 2     0.00%
codecoverage/dist/include/js/StructuredClone.h                                44                44     0.00%          36                36     0.00%         115               115     0.00%           4                 4     0.00%
codecoverage/dist/include/js/SweepingAPI.h                                    14                 2    85.71%          12                 2    83.33%          25                 2    92.00%           2                 1    50.00%
codecoverage/dist/include/js/Symbol.h                                          3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           4                 1    75.00%
codecoverage/dist/include/js/TraceKind.h                                     150               129    14.00%           4                 3    25.00%          36                32    11.11%          52                35    32.69%
